taxpayer_city,distinct_cities
ADAMS,1
ADDISON,1
AITKIN,1
ALBANY,1
ALBERT LEA,1
ALEXANDRIA,1
ANAHEIM,1
ANCHORAGE,1
ANDERSON,1
ANDOVER,1
ANN,1
ANNANDALE,1
APOPKA,1
APPLE VALLEY,1
APPLETON,1
ARLINGTON,1
ARROYO GRANDE,1
ASHEVILLE,1
AURORA,1
AUSTIN,1
AVON,1
AYRSHIRE,1
BAGLEY,1
BALATON,1
BALLSTON SPA,1
BARNESVILLE,1
BATTLE LAKE,1
BATTLEFIELD,1
BEAVER CREEK,1
BEAVERTON,1
BECKER,1
BELDEN,1
BELLE PLAINE,1
BELTON,1
BELVIEW,1
BEMIDJI,1
BEND,1
BENNINGTON,1
BENSON,1
BENTON,1
BETHEL,1
BIRCHWOOD VILLAGE,1
BISMARCK,1
BLAINE,1
BLOOMINGTON,1
BOYD,1
BOZEMAN,1
BRAHAM,1
BRAINERD,1
BRANDON,1
BRENTWOOD,1
BROOK PARK,1
BROOKINGS,1
BROOKLYN CENTER,1
BROOKLYN PARK,1
BUFFALO,1
BYRON,1
CALIMESA,1
CAMDEN,1
CANBY,1
CARLTON,1
CARVER,1
CASA GRANDE,1
CEDAR RAPIDS,1
CEDARBURG,1
CEDARHURST,1
CENTER,1
CHAMPLIN,1
CHANDLER,1
CHANHASSEN,1
CHASKA,1
CHEYENNE,1
CHICAGO,1
CINCINNATI,1
CIRCLE PINES,1
CLARA CITY,1
CLARK,1
CLARKFIELD,1
CLARKS GROVE,1
CLEAR LAKE,1
CLEARWATER,1
CLERMONT,1
CLEVELAND,1
CLINTON,1
CLITHERALL,1
COLD SPRING,1
COLLIERVILLE,1
COLOGNE,1
COLUMBIA,1
COLUMBUS,1
COON RAPIDS,1
CORCORAN,1
CORONA,1
COSMOS,1
COTTONWOOD,1
COVENTRY,1
CROOKSTON,1
CROSBY,1
CROSSVILLE,1
CRYSTAL,1
CUSTER,1
DANUBE,1
DANVILLE,1
DASSEL,1
DAVIS,1
DAVISON,1
DAWSON,1
DAYTON,1
DAYTONA BEACH,1
DECATUR,1
DEEP RIVER,1
DEERWOOD,1
DELANO,1
DENT,1
DENVER,1
DERIDDER,1
DES MOINES,1
DETROIT LAKES,1
DODGE CENTER,1
DOUGLAS,1
DULUTH,1
DYSART,1
EAGAN,1
ECHO,1
EDEN PRAIRIE,1
EDINA,1
EDISON,1
EL PASO,1
ELGIN,1
ELIZABETH,1
ELK MOUND,1
ELK RIVER,1
ELKHORN,1
ELKINS,1
ELKO NEW MARKET,1
ELM,1
ELY,1
ELYSIAN,1
EMILY,1
ERWIN,1
ESTELLINE,1
EUCLID,1
EXCELSIOR,1
FAIRMONT,1
FARGO,1
FARIBAULT,1
FARMINGTON,1
FARWELL,1
FAYETTEVILLE,1
FERGUS FALLS,1
FOLEY,1
FOREST LAKE,1
FORT COLLINS,1
FORT MYERS,1
FORT WAYNE,1
FRANKLIN,1
FREDERICKSBURG,1
FREEDOM,1
FRESNO,1
FRIDLEY,1
GARFIELD,1
GARRISON,1
GARVIN,1
GARY,1
GEM LAKE,1
GHENT,1
GILLETTE,1
GLEN ULLIN,1
GLENWOOD,1
GOLDEN VALLEY,1
GOLETA,1
GRAND,1
GRAND ISLAND,1
GRAND JUNCTION,1
GRANITE FALLS,1
GRANT,1
GREELEY,1
GREENWOOD VILLAGE,1
GRENVILLE,1
GRIDLEY,1
HAMILTON,1
HANLEY FALLS,1
HARTFORD,1
HASTINGS,1
HAYTI,1
HAZEL RUN,1
HELENA,1
HENDRICKS,1
HEWITT,1
HILL,1
HILLS,1
HINCKLEY,1
HOFFMAN,1
HOLLAND,1
HOLT,1
HOPKINS,1
HOUSTON,1
HUDSON,1
HUGO,1
HURON,1
INDIALANTIC,1
INVER GROVE HEIGHTS,1
IONA,1
IRENE,1
ISANTI,1
IVANHOE,1
JACKSON,1
JOHNSON,1
JORDAN,1
JUPITER,1
KASOTA,1
KENNETH,1
KERKHOVEN,1
LAFAYETTE,1
LAKE,1
LAKE BENTON,1
LAKE OSWEGO,1
LAKEVILLE,1
LAMBERTON,1
LANE,1
LAWRENCE,1
LE CENTER,1
LENNOX,1
LENOIR,1
LEWISBURG,1
LINCOLN,1
LITCHFIELD,1
LITTLETON,1
LIVERMORE,1
LIVINGSTON,1
LONG BEACH,1
LOS ANGELES,1
LOUISVILLE,1
LUCAN,1
LUVERNE,1
LYND,1
MADELIA,1
MADISON,1
MANKATO,1
MAPLE,1
MAPLE GROVE,1
MAPLEWOOD,1
MARIETTA,1
MARION,1
MARSHALL,1
MARSHALLTOWN,1
MARSHFIELD,1
MARYVILLE,1
MAYNARD,1
MCALLEN,1
MCKINLEY,1
MEDINA,1
MELBOURNE,1
MELROSE,1
MENDOTA,1
MERCEDES,1
MESA,1
MIAMISBURG,1
MILBANK,1
MILROY,1
MINNEAPOLIS,1
MINNEOTA,1
MINNESOTA,1
MINNETONKA,1
MINNETRISTA,1
MOGADORE,1
MOLINE,1
MONTEVIDEO,1
MONTICELLO,1
